Repo Name, Total Commits,Flagged Commits,Total Issues,Flagged Issues,Total Releases,Flagged Releases
crossoverJie/JCSprout,100,0,30,0,0,0
arduino/Arduino,100,0,643,0,37,0
Activiti/Activiti,100,0,555,0,1781,0
YunaiV/ruoyi-vue-pro,100,0,7,0,42,0
apache/shardingsphere,100,0,535,0,58,0
qiurunze123/miaosha,100,0,2,0,0,0
apache/skywalking,100,0,59,0,62,0
NationalSecurityAgency/ghidra,100,0,1464,0,44,0
libgdx/libgdx,100,0,242,0,14,0
alibaba/fastjson,100,0,1935,0,84,0
geekxh/hello-algorithm,100,0,11,0,0,0
aosp-mirror/platform_frameworks_base,100,0,0,0,0,0
sqshq/piggymetrics,100,0,0,0,2,0
bumptech/glide,100,0,561,0,47,0
yudaocode/SpringBoot-Labs,100,0,29,0,0,0
openjdk/jdk,100,0,0,0,0,0
nostra13/Android-Universal-Image-Loader,100,0,455,0,0,0
google/ExoPlayer,100,0,631,0,28,0
ashishps1/awesome-system-design-resources,100,0,3,0,0,0
awsdocs/aws-doc-sdk-examples,100,0,148,0,0,0
thingsboard/thingsboard,100,0,545,0,69,0
alibaba/DataX,100,0,1121,0,7,0
prestodb/presto,100,0,1815,0,0,0
JetBrains/intellij-community,100,0,0,0,2,0
redisson/redisson,100,0,268,0,172,0
hollischuang/toBeTopJavaer,100,0,58,0,0,0
airbnb/lottie-android,100,0,33,0,59,0
dianping/cat,100,0,194,0,3,0
macrozheng/mall-swarm,100,0,6,0,3,0
Stirling-Tools/Stirling-PDF,100,0,303,0,133,0
skylot/jadx,100,0,384,0,31,0
mission-peace/interview,100,0,61,0,0,0
DuGuQiuBai/Java,33,0,51,0,0,0
jfeinstein10/SlidingMenu,100,0,264,0,0,0
scwang90/SmartRefreshLayout,100,0,329,0,14,0
dyc87112/SpringBoot-Learning,100,0,35,0,0,0
apache/dolphinscheduler,100,0,223,1,52,0
termux/termux-app,100,0,395,0,95,1
Netflix/Hystrix,100,0,356,0,79,0
greenrobot/EventBus,100,0,100,0,7,0
JakeWharton/butterknife,100,0,102,0,0,0
williamfiset/Algorithms,100,0,62,0,0,0
Grasscutters/Grasscutter,100,0,143,0,20,0
careercup/CtCI-6th-Edition,100,0,52,0,0,0
proxyee-down-org/proxyee-down,100,0,0,0,49,0
baomidou/mybatis-plus,100,0,83,0,36,0
YunaiV/yudao-cloud,100,0,0,0,28,0
google/gson,100,0,226,1,11,0
heibaiying/BigData-Notes,100,0,19,0,0,0
CarGuo/GSYVideoPlayer,100,0,15,0,52,0
bazelbuild/bazel,100,0,1654,0,206,1
doocs/source-code-hunter,100,0,8,0,0,0
seaswalker/spring-analysis,100,0,12,0,0,0
code4craft/webmagic,100,0,337,0,33,0
android-async-http/android-async-http,100,0,119,0,3,0
winterbe/java8-tutorial,100,0,0,0,0,0
JakeWharton/ViewPagerIndicator,100,0,135,0,0,0
LMAX-Exchange/disruptor,100,0,10,0,14,0
zhisheng17/flink-learning,100,0,0,0,0,0
apereo/cas,100,0,0,0,300,0
Baseflow/PhotoView,100,0,206,0,5,0
grpc/grpc-java,100,0,441,0,179,0
redis/jedis,100,0,77,0,112,0
deeplearning4j/deeplearning4j,100,0,636,0,0,0
dbeaver/dbeaver,100,0,3011,1,228,0
pinpoint-apm/pinpoint,100,0,437,1,61,1
iBotPeaches/Apktool,100,0,82,1,26,0
Netflix/eureka,100,0,103,0,151,0
facebook/fresco,100,0,242,0,55,0
apache/druid,100,0,646,0,67,3
dataease/dataease,100,0,85,0,96,0
gyoogle/tech-interview-for-developer,100,0,9,0,0,0
apache/pulsar,100,0,1199,0,108,0
LSPosed/LSPosed,100,0,0,0,39,0
elastic/logstash,100,0,1963,2,195,0
Bigkoo/Android-PickerView,100,0,418,0,0,0
antlr/antlr4,100,0,868,0,31,1
Tencent/tinker,100,0,530,1,60,0
android10/Android-CleanArchitecture,100,0,128,0,0,0
infinilabs/analysis-ik,100,0,365,0,1,0
trinodb/trino,100,0,2273,0,0,0
TeamNewPipe/NewPipe,100,0,1202,0,136,0
alibaba/COLA,100,0,68,0,11,0
didi/DoKit,100,0,235,0,14,0
datahub-project/datahub,100,0,305,0,102,0
Anuken/Mindustry,100,0,1,0,166,0
material-components/material-components-android,100,0,652,0,110,0
pagehelper/Mybatis-PageHelper,100,0,57,0,15,0
hdodenhof/CircleImageView,100,0,4,0,0,0
openzipkin/zipkin,100,0,171,0,97,0
codecentric/spring-boot-admin,100,0,39,0,135,0
LuckSiege/PictureSelector,100,0,530,0,116,0
kekingcn/kkFileView,100,0,321,0,16,0
brettwooldridge/HikariCP,100,0,494,0,0,0
asLody/VirtualApp,100,0,0,0,0,0
ReactiveX/RxAndroid,100,0,1,0,20,0
quarkusio/quarkus,100,0,2355,0,400,9
greenrobot/greenDAO,100,0,195,0,8,0
justauth/JustAuth,100,0,61,0,46,0
janishar/mit-deep-learning-book-pdf,27,0,12,0,3,0
dromara/Sa-Token,100,0,97,0,38,0
daniulive/SmarterStreaming,100,0,8,0,0,0
ashishps1/awesome-leetcode-resources,89,0,5,0,0,0
newbee-ltd/newbee-mall,100,0,3,0,0,0
debezium/debezium,100,0,0,0,0,0
Tencent/QMUI_Android,100,0,426,0,35,0
metersphere/metersphere,100,0,76,0,179,0
daimajia/AndroidSwipeLayout,100,0,358,0,18,0
mockito/mockito,100,0,443,0,221,1
alibaba/ARouter,100,0,123,0,16,0
TooTallNate/Java-WebSocket,100,0,44,0,19,0
PaperMC/Paper,100,0,370,1,0,0
CodePhiliaX/Chat2DB,100,0,0,0,43,0
jeasonlzy/okhttp-OkGo,100,0,462,0,14,0
youth5201314/banner,100,0,41,0,0,0
android-hacker/VirtualXposed,100,0,142,0,50,0
neo4j/neo4j,100,0,279,1,72,0
lgvalle/Material-Animations,76,0,16,0,0,0
projectlombok/lombok,100,0,925,0,0,0
java-decompiler/jd-gui,100,0,219,0,18,0
lipangit/JiaoZiVideoPlayer,100,0,268,0,78,0
frank-lam/fullstack-tutorial,100,0,21,0,0,0
daimajia/AndroidViewAnimations,100,0,58,0,9,0
Netflix/zuul,100,0,1,0,28,1
H07000223/FlycoTabLayout,42,0,356,0,4,0
zaproxy/zaproxy,100,0,820,0,16,0
JessYanCoding/MVPArms,100,0,47,0,25,0
Netflix/conductor,100,0,148,0,319,0
androidannotations/androidannotations,100,0,50,0,0,0
amitshekhariitbhu/android-interview-questions,100,0,10,0,0,0
opensearch-project/OpenSearch,100,0,2029,1,56,0
doocs/jvm,100,0,12,0,0,0
Curzibn/Luban,100,0,147,0,6,0
jhy/jsoup,100,0,7,0,19,0
Tencent/APIJSON,100,0,230,0,109,0
Yalantis/uCrop,100,0,278,0,18,0
lingochamp/FileDownloader,100,0,175,0,65,0
pxb1988/dex2jar,100,0,376,0,8,0
orhanobut/logger,100,0,70,0,16,0
eclipse-vertx/vert.x,100,0,116,0,0,0
OpenRefine/OpenRefine,100,0,652,0,70,0
zhihu/Matisse,100,0,411,0,15,0
StarRocks/starrocks,100,0,498,0,146,0
ssssssss-team/spider-flow,100,0,9,0,2,0
microg/GmsCore,100,0,1087,0,41,0
JessYanCoding/AndroidAutoSize,100,0,123,0,14,0
zfile-dev/zfile,100,0,47,0,65,0
Tencent/matrix,100,0,366,0,16,0
gyf-dev/ImmersionBar,100,0,129,0,0,0
alibaba/vlayout,100,0,190,0,34,0
realm/realm-java,100,0,363,0,0,0
oracle/graal,100,0,660,0,32,0
google/guice,100,0,337,0,19,0
kestra-io/kestra,100,0,391,0,285,0
ben-manes/caffeine,100,0,1,0,71,0
Tencent/VasSonic,100,0,42,0,10,0
clojure/clojure,100,0,0,0,0,0
GoogleContainerTools/jib,100,0,173,0,168,0
questdb/questdb,100,0,687,1,91,0
languagetool-org/languagetool,100,0,1988,0,0,0
permissions-dispatcher/PermissionsDispatcher,100,0,29,0,40,0
resilience4j/resilience4j,100,0,247,0,35,0
square/javapoet,100,0,92,0,0,0
jwtk/jjwt,100,0,30,0,7,0
tbruyelle/RxPermissions,100,0,91,0,11,0
LawnchairLauncher/lawnchair,100,0,486,0,30,0
provectus/kafka-ui,100,0,271,0,25,0
yuliskov/SmartTube,100,0,2614,0,871,0
google/auto,100,0,72,0,66,0
Konloch/bytecode-viewer,100,0,92,0,61,0
tink-crypto/tink,100,0,0,0,21,0
facebook/stetho,100,0,64,0,13,0
cryptomator/cryptomator,100,0,259,0,193,0
plantuml/plantuml,100,0,522,1,57,0
theonedev/onedev,100,0,0,0,422,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,100,0,506,0,0,0
conductor-oss/conductor,100,0,59,0,25,0
supertokens/supertokens-core,100,0,127,0,91,0
xiaojieonly/Ehviewer_CN_SXJ,100,0,284,0,104,0
beemdevelopment/Aegis,100,0,70,0,71,0
xpipe-io/xpipe,100,0,32,0,112,0
apple/pkl,100,0,151,0,15,0
Team-xManager/xManager,100,0,0,0,50,0
